author_id,name,username,created_at,text,sentimen
,,,7/3/2022 22:46,[POPULER MONEY] Waspada Aplikasi MyPertamina Palsu | Singapura Surga WNI Sembunyikan Harta   https://t.co/0CRVOaHptF,bad
,,,7/3/2022 22:46,Waspada Aplikasi MyPertamina Palsu hingga Singapura Surga WNI Sembunyikan Harta menjadi artikel populer Money Minggu.  https://t.co/fh4iaoTuts,bad
,,,7/3/2022 22:48,"Karena MyPertamina, Warga Manfaatkan Peluang Jual Bensin Eceran Depan SPBU  https://t.co/a6DauPlj9U",bad
,,,7/3/2022 22:52,Done 1.0 utk yg mypertamina PDS RUNNER  Kagak ada dana buzzer utk meng counter?  https://t.co/TrM3vN9EzL,bad
,,,7/3/2022 23:03,@dokterparu ada apa dengan mypertamina?,neutral
,,,7/3/2022 23:04,"Tidak Punya Aplikasi MyPertamina, Silahkan Bawa Ini Saat Membeli Pertalite  https://t.co/5qncpixFr0 #BandarLampung #Sumatra",neutral
,,,7/3/2022 23:04,"Terpopuler Bisnis: Pertamina Hargai Netizen soal MyPertamina, Kredit Macet Titan Energy  https://t.co/m8Ibu60VOk #TempoBisnis",good
,,,7/3/2022 23:08,Hampir Semua SPBU Di Solo Sudah Bisa Layani Pembelian Pakai MyPertamina  https://t.co/oiKGFadKRz,good
,,,7/3/2022 23:08,"Banyak Pengendara Berikan Rating Buruk Aplikasi MyPertamina di Google Play Store, Ini Alasannya  https://t.co/KZUTAqUMqN",bad
,,,7/3/2022 23:16,"MyPertamina Error, DPR: Pembelian BBM Bersubsidi Menyusahkan Rakyat  https://t.co/19BJt6AuKp",bad
,,,7/3/2022 23:26,"Anggota DPR RI dari Fraksi PKS, Rofik Hananto, mengkritik penggunaan aplikasi MyPertamina yang tak efektif.  || @rofikhananto @tribunnews  #fraksipksdprri  #BersamaMelayaniRakyat  #PKSPelayanRakyat  https://t.co/pN0bC8SZtw",bad
,,,7/3/2022 23:26,@Wifeid11 Wkwkwkwk anjir..  karna satria baja hitam gak punya hp buat daftar mypertamina,neutral
,,,7/3/2022 23:26,Rute Pesawat Presiden Jokowi hingga Keluhan soal MyPertamina  https://t.co/xdqY2lRsIq,bad
,,,7/3/2022 23:32,Rute Pesawat Presiden Jokowi hingga Keluhan soal MyPertamina  https://t.co/zAh4GAssRG,bad
,,,7/3/2022 23:40,@dokterparu Kemarin-kemarin bahas diplomasi ke Ukraina dan Rusia yang gagal dan mypertamina lho,neutral
,,,7/3/2022 23:44,Pendaftaran MyPertamina untuk syarat membeli BBM subsidi Pertalite dan Solar sudah dibuka sejak 1 Juli 2022. Bagaimana caranya  https://t.co/EPVfD4WV8M,neutral
,,,7/3/2022 23:48,Pendaftaran Beli Pertalite di MyPertamina Hanya Untuk Mobil  https://t.co/G3bCntOMRr,neutral
,,,7/5/2022 18:52,@energitodayID @pertamina @KemenBUMN Amanlah yang punya motor nggak perlu daftar di MyPertamina juga,good
,,,7/5/2022 18:55,@energitodayID @pertamina @KemenBUMN Dengan MyPertamina akan terdata lebih baik,good
,,,7/5/2022 18:59,The MyPertamina app thing is so stupid gmn ni KPPU,bad
,,,7/5/2022 19:04,@energitodayID @pertamina @KemenBUMN amanlah yang daftar di MyPertamina hanya untuk mobil saja,good
,,,7/5/2022 19:06,"@energitodayID @pertamina @KemenBUMN Jangan bimbang, hanya untuk mobil ke bijakan daftar di MyPertamina",good
,,,7/5/2022 19:07,mypertamina ada kode referralnya ga,neutral
,,,7/5/2022 19:07,@energitodayID @pertamina @KemenBUMN Jangan salah roda dua nggak perlu daftar di MyPertamina,neutral
,,,7/5/2022 19:23,"50 Ribu Kendaraan Daftar MyPertamina, Anda Sudah Belum?  https://t.co/zG0Ak9399b",neutral
,,,7/5/2022 19:31,"#seBAIKnyaANDAtahu  Buka play store  Cari mypertamina  Klik titik 3 di pojok kanan atas  Laporkan/tandai sebagai tidak pantas.  Rating di bawah 0,8 di blokir Playstore   Laksanakan....! #MyPertaminaUnfaedah #MyPertaminaUnfaedah  https://t.co/QpdH3vFwcW",bad
,,,7/5/2022 20:32,Minta dikasih rating nol ini aplikasi MyPertamina ...,bad
,,,7/5/2022 20:49,Perang bintang app MyPertamina ternyata antara netijen dan 'prajurit bayaran'...  🤣🤣  Pertamina masih diam membisu.   https://t.co/1I6O9sBhmZ,bad
,,,7/5/2022 21:08,"Baru tau ada aplikasi MyPertamina, aplikasi yang sangat membantu jikalau ingin mengisi bahan bakar tapi lupa membawa uang tunai, bisa langsung aja pake aplikasi ini. Dan ternyata buatan anak negeri juga dong, mantap keren keren",good
,,,7/5/2022 21:11,@kangdede78 Husss jangan gitu...coba deh ada yg dibayar miliaran per bulan eh malah bikin ruwet rakyat...🤣🤣 #MyPertamina  https://t.co/7wvcxonMoB,bad
,,,7/5/2022 21:33,"Pak Ganjar, pakai MyPertamina gak ? Jangan lupa isi hobi yaaaaa. 👀  https://t.co/gEiuj2iueU",neutral
,,,7/5/2022 21:34,"Agar Terhindar dari Aplikasi MyPertamina Palsu, Simak Langkahnya  https://t.co/8uzjRz2oPK",neutral
,,,7/5/2022 21:39,"Siapa pembuat dan penyedia aplikasi online “Peduli Lindungi”, “MyPertamina” dan “Kartu Pra Kerja”?",neutral
,,,7/5/2022 22:11,Mau Isi Pertalite atau Solar di SPBU Pertamina? Unduh Dulu Aplikasi MyPertamina!  https://t.co/OmC9n8rVnH  https://t.co/CQkBNAwwK4,neutral
,,,7/5/2022 22:22,"@KompasTV Setelah unduh aplikasi MyPertamina, tinggal pesen deh, BBM dianter ke rumah 😅😅 negara srimulat 😅😅",bad
,,,7/5/2022 22:23,"@AnthonyBudiawan.. Dia sudah mengadaikan professionalisme dan sudah tersandera. Dari sisi Pemerintah, menaikkan harga Petralite dan pemakaian aplikasi MyPertamina dengan dalih agar subsidi tepat sasaran hanyalah cara utk mengurangi subsidi. Ini sangat terkait dgn beberapa hal.",bad
,,,7/5/2022 22:24,"KKN Terselubung Pada Layanan Aplikasi MyPertamina, Ahok kok Diam Saja  https://t.co/2io9v3nIjj",bad
,,,7/5/2022 22:26,"@OpikAf @baroesy @korantempo Langkah perbuatan ACT nyata, ada hasil, kelihatan walau tidak publikasi gila2an. Yg g suka terserah, saya mah suka dan bangga dgn ACT  Udah deh g usah ngebela berita pengalihan isu.. apakabar RKUHP dan MyPertamina??",bad
,,,7/5/2022 22:43,"Berita Populer Tren 6 Juli 2022: Viral, Video Penumpang KRL Diturunkan karena Kedapatan Ngobrol | Ramai Lowongan Buzzer MyPertamina  https://t.co/Ai0uhaGx0q",bad
,,,7/5/2022 22:49,@Muhammad_Saewad @Louis_chantika Beredar screenshot trg penggunaan buzzer buat naikin bintang aplikasi mypertamina bukti WA tersebut JUSTRU MEMBERI JAWABAN secara langsung maupun tdk bahwa simbiosis pertamina dan buzzer sangat kuat saat pertanyaan kenapa pertamina ngaku rugi melulu padahal BBM naik terus,bad
,,,7/5/2022 22:54,"50 Ribu Kendaraan Terdaftar di MyPertamina, Pertamina Klaim Antusiasme Warga Tinggi  https://t.co/UVZ1AzeMyW #TempoBisnis",good
,,,7/5/2022 22:55,"MyPertamina Jadi Syarat Beli Pertalite, Data Pribadi Aman? Biaya admin topup klo dihilangkan lebih aman lg kale  https://t.co/J5VPmeCrcW",bad
,,,7/5/2022 22:59,"Viral Lowongan Buzzer Buat Dongkrak Rating MyPertamina, Pertamina Buka Suara  https://t.co/9mca7mKuLx",bad
,,,7/5/2022 23:01,Sampe sewa Buzzer untuk naikin rating MyPertamina di play store....??  https://t.co/YbQWuC21ui,bad
,,,7/5/2022 23:02,Pemilik Mobil Wajib Daftar MyPertamina sebelum 30 Juli  https://t.co/uRbCjIKxt2,neutral
,,,7/5/2022 23:02,"@andysyrus44 @AkuJakinih @_mardial_ Aplikasinya udah lama bang.. dulu tahun instal dan pake karena iming2 ada hadiah, lalu pernah progam pembayaran pake mypertamina cashback",good
,,,7/5/2022 23:12,"@tempodotco tergantung dari sudut mana menilainya, khan sama saja artinya kalau dengan redaksinya ""Warga klaim mau tidak mau mendaftarkan kendraannya di MyPertamina""....",bad
,,,7/5/2022 23:15,@RelawanNusanta1 @Aline_Y_Tan Pakai kartu klo nggak lewat aplikasi mypertamina emang bisa? Mo pake kartu joker? Emang bisa? Ato pake kartu gaple alias domino...?🤣🤣🤣 klo ada yang sulit kenapa harus dipermudah...?😛🤭,bad
,,,7/5/2022 23:30,@fadlizon Maaf andalan dipartai yang mendukung pemerintahan... janga hanya cuit tindakan yang jelas itu tambah lagi regulasi yang memeras keringat rakyat app mypertamina..,bad
,,,7/5/2022 23:37,"Viral Lowongan Buzzer Buat Dongkrak Rating MyPertamina, Pertamina Buka Suara   #Sindonews #BukanBeritaBiasa . https://t.co/hT9N4zK3iL",bad
,,,7/5/2022 23:39,"Hati-hati, ada beberapa pihak yang tidak bertanggung jawab dan menghadirkan aplikasi MyPertamina palsu. #aplikasimypertamina  https://t.co/QK0wgtbAVD",bad
,,,7/5/2022 23:39,"Warning! Hati-Hati Aplikasi MyPertamina Palsu, Berpotensi Curi Data  https://t.co/I1uSAYCeTj",bad
,,,7/5/2022 23:50,@NegeriKolam Kan ketauan isu ACT nih ada kebusukan regime yg disembunyikan: 1. RUU KUHP 2. 1k biaya topup IinkAja di MyPertamina 3. 170T selisih hasil penjualan PT. Pertamina Patra Niaga tidak masuk ke kas negara 4. Diplomasi blunder Jokowi soal Ukraina-Rusia  #KamiPercayaACT,bad
,,,7/5/2022 23:56,Beli Pertalite harus dengan Aplikasi MyPertamina.   Sudahkah Anda melakukannya? Apa pendapat Anda?   #SonoraPagi @SonoraFM92 @sonora_bandung  @Fm98Sonora   Streaming:  https://t.co/qrqTCnw6Ww,neutral
,,,7/7/2022 19:07,Masyarakat dukung subsidi tepat sasaran krn sudah terbangun pemahaman alokasi tepat bagi yang berhak membutuhkan. Bahkan sudah lebih dr 50ribu kendaraan yg sudah daftar di MyPertamina #SubsidiTepatSasaran  https://t.co/85d8poInGD,good
,,,7/7/2022 19:10,@energitodayID @pertamina @KemenBUMN Sangat mengapresiasi langkah Pertamina beri kemudahan dalam mendaftar di MyPertamina,good
,,,7/7/2022 19:11,"Terbaik sudah 50 ribu lebih kendaraan sukses registrasi di MyPErtamina gaes, efor luar biasa dari Pertamina pgrogram berhasil #SubsidiTepatSasaran  https://t.co/ej5D9XyvWq",good
,,,7/7/2022 19:13,"Bidik BBM subsidi tepat sasaran, Pertamina siapkan inovasi dengan sistem digital melalui MyPertamina.Langkah ini dapat apresiasi jg lho gaes dari pengamat energi Mamit Setiawan #SubsidiTepatSasaran  https://t.co/TqrHC2yJnU",good
,,,7/7/2022 21:11,@SiaranBolaLive @Bonetti -download mypertamina,good
,,,7/7/2022 22:30,"Ribet bener MyPertamina mesti pake link aja, bayar langsung one click ke debit card gabisa gitu?",bad
,,,7/7/2022 22:32,Nonton drakor di MyPertamina sambil minum Kukubima,neutral
,,,7/7/2022 22:36,"Beli Solar dan Pertalite Pakai MyPertamina Ribet? Ingat, Bisa Daftar Tanpa Ponsel  https://t.co/LCp9sS9GjB",good
,,,7/7/2022 22:57,"@Tri12Anggara Mana ga semua spbu dkung mypertamina  Ga siap, tp maksain 😑",bad
,,,7/7/2022 22:59,"@papa_loren Dasar akuuhh, emak2 super kepo, langsung aja ngelirik ke MyPertamina di play store.....aduh masseeehh...klo bohong mbok yg pinter dikit, yg kira2 bakal sulit ketauan. Kok jd skrg bohong spt life style seeyy...release nya aja 2017, ngaku dipake 2005.  https://t.co/BZQe7bEc1m",neutral
,,,7/7/2022 23:01,PB HMI Minta Hentikan Uji Coba Penggunaan Aplikasi MyPertamina untuk Beli Pertalite dan Solar  https://t.co/tQUWSv0BT6,neutral
,,,7/7/2022 23:14,@papa_loren 😃😃😃mypertamina ada di hape symbian ya?😃😃😃😃,neutral
,,,7/7/2022 23:27,Itu 2005 install mypertamina dimana? 😂 PC Pentium 4? Wkwkwk,neutral
,,,7/7/2022 23:32,"Bojo terpaksa mundur karena menunggak BPJS, juga tidak mau install aplikasi MyPertamina, serta menolak Threshold 20%😊",bad
,,,7/7/2022 23:58,"Transformasi Motor ke Sepeda Pancal, Diduga Gegara Transaksi BBM Ribet | MMC Millenials  Pada tahu dong aplikasi myPertamina untuk membeli BBM? Kebijakan ini mendapat sambutan negatif dari netizen sob. PEnasaran? Simak di video ini.   https://t.co/3JJhHimFo8 #IslamKaffah",bad
,,,7/9/2022 15:24,scraping review aplikasi mypertamina menggunakan library google play scraper.  https://t.co/zc16MXa6hU,neutral
,,,7/9/2022 15:44,@ppnjatimbalinus Ada 5 Logo MyPertamina  #JENIUSJatimBaliNus  Yuk ikutan @HendrickCahAE  @Kimm_Mulya  @NurAinun2020,neutral
,,,7/9/2022 15:45,@ppnjatimbalinus Ada 5 Logo MyPertamina  #JENIUSJatimBaliNus  Yuk ikutan @ryupr12  @LisnawatiSelly  @FirnandoIrin  @pak_kampz  @HanifBigWin,neutral
,,,7/9/2022 16:00,"@zakiego Pada ke trigger berita wajib pake mypertamina di spbu 😅, 20k cukup kecil harusnya dibanding total yang ninggalin bintang sampai 276k",bad
,,,7/9/2022 16:42,"@pinkawiz_art Maksudnya BBM di indo pake app mypertamina kali, kak",neutral
,,,7/9/2022 17:12,Di Sri Lanka SPBU di jaga oleh personel bersenjata. Rakyatnya tidak di izinkan untuk membeli BBM.   Kira2 di Indonesia kapan akan terjadi begini? Roma2nya sebentar lagi karena pada ogah install MyPertamina. 🤣,bad
,,,7/9/2022 17:54,Pagawe SPBU didemo wae MyPertamina Apps  https://t.co/FKyS5vVRAJ,bad
,,,7/9/2022 18:51,Braeking news. Dapat kiriman video  MyPertamina  Nah sdh ada kejadian akibat peraturan goblok dalam mengisi bbm menggunakan aplikasi ✍️Tadi sore di spbu desa Wero gombong kebumen.  https://t.co/s43n4aRZsf,bad
,,,7/9/2022 21:25,KSP Apresiasi Animo Publik Soal Sistem Penyaluran BBM Subsidi MyPertamina. Wah mantul👍👍  https://t.co/9Crrhhz4RM,good
,,,7/9/2022 21:39,Mantappp KSP Apresiasi Animo Publik Soal Sistem Penyaluran BBM Subsidi MyPertamina 👍🏻👍🏻  https://t.co/yMqLtjPY0L,good
,,,7/9/2022 21:41,"KSP Apresiasi Animo Publik Soal Sistem Penyaluran BBM Subsidi MyPertamina. Terbukti sih dengan antusiasme masyarakat yang tinggi, berarti kebijakan ini banyak yang dukung 👍  https://t.co/DeB2zbaTjs",good
,,,7/9/2022 21:45,HARGA BBM PERTAMINA  Harga bahan bakar Pertamina telah dirancang sebagai wujud apresiasi untuk Anda dalam memberikan pelayanan prima di SPBU kami.*  *Harga bahan bakar berlaku mulai 10 Juli 2022.  Price Update - MyPertamina  https://t.co/iZWw6PchZB  https://t.co/1VryX8cfgH,neutral
,,,7/9/2022 22:01,@Miss_warawiri Kebumen masuk dimana?ini 11 daerah percobaan mypertamina  https://t.co/qwWY8FW0wn,neutral
,,,7/9/2022 22:05,Wahh keren KSP Apresiasi Animo Publik Soal Sistem Penyaluran BBM Subsidi MyPertamina.  Emg layak sih di apresiasi 👍🏻  https://t.co/TPXRrXZpIu,good
,,,7/9/2022 22:07,KSP Apresiasi Animo Publik Soal Sistem Penyaluran BBM Subsidi MyPertamina Setuju banget! Good job pertamina 👍  https://t.co/wLSP3DiOwJ,good
,,,7/9/2022 22:08,"KSP Apresiasi Animo Publik Soal Sistem Penyaluran BBM Subsidi MyPertamina. Terbukti sih dengan antusiasme masyarakat yang tinggi, berarti kebijakan ini banyak yang dukung 👍  https://t.co/17wkKzQiM4",good
,,,7/9/2022 22:37,Pengaturan kuota BBM subsidi dgn mypertamina agar tepat sasaran  https://t.co/yi9gle5zZA,good
,,,7/9/2022 22:47,Digitalisasi MyPertamina terobosan Pemerintah mengatur BBM subsidi  https://t.co/sy9c5xzOMc,good
,,,7/9/2022 23:19,"@JustbiyuAjah @Miss_warawiri Dia nyalain hp blom tentu utk pke mypertamina. Tapi dari situ kita belajar bahwa buka hp saat isi bensin itu BERBAHAYA. Jgn dangkal ngeliat suatu situasi, apa2 dibilang provokasi. Kamu nunggu motor/mobilmu meledak dulu baru pcy buka hp di pom bahaya?",neutral
,,,7/9/2022 23:50, https://t.co/oP9yj83FAp  #mypertamina  https://t.co/PH56RTNv2z,neutral
,,,7/11/2022 13:53,Nah gais sekarang pendaftaran maupun transaksi nantinya bagi yang berhak menerima  BBM bersubsidi bisa dilakukan tanpa aplikasi MyPertamina loh  https://t.co/8X00PtglgR,good
,,,7/11/2022 13:55,Kantor Staf Presiden mengapresiasi tingginya animo publik terkait pengaturan penyaluran BBM bersubsidi jenis Pertalite dan Solar menggunakan MyPertamina.  https://t.co/EG2iW5ZWYO,good
,,,7/11/2022 14:08,Pertamina Gandeng DPD Organda Jawa Barat Sosialisasi Penggunaan BBM Bersubsidi #DPDOrgandaJawaBarat #MyPertamina  https://t.co/HYlw1GdR81,neutral
,,,7/11/2022 14:27,Semoga beli pertalite dan solar gak jadi pake aplikasi mypertamina #Pertalite,bad
,,,7/11/2022 14:31,@LahrianSyahilla Yg merasa berhak lebih baik segera daftar MyPertamina,good
,,,7/11/2022 14:34,Aplikasi my pertamina klo pembayarannya pake sidik jari kyak syopi bisa efisiensi waktu. Barusan beli bensin pake mypertamina agak lama buat masukin pinnya udah gitu keypaddnya qwerty lgi bukan nomor aja,bad
,,,7/11/2022 14:36,"Pendaftaran Hari ke-4, 50 Ribu Kendaraan Sudah Tercatat di MyPertamina   #Sindonews #BukanBeritaBiasa . https://t.co/EAMYlBzjPm",neutral
,,,7/11/2022 14:41,"Mantap banget nih, beli BBM subsidi bisa tanpa HP dan tanpa MyPertamina loh gais  https://t.co/4qfXNzbMZc",good
,,,7/11/2022 14:42,"Catat!, Mulai Hari Ini Warga Kota Semarang dan Cilacap Bisa Daftar di Situs Subsidi Tepat MyPertamina  https://t.co/qfXkErMqWE",neutral
,,,7/11/2022 14:43,"Keren banget sih ya, MyPertamina jadi solusi subsidi BBM tepat sasaran loh gais  https://t.co/6NF9zpzmaD",good
,,,7/11/2022 14:44,"Mantap banget dah ya, berkat MyPertamina dari pertamina kin BBM subsidi telah tepat sasaran loh  https://t.co/nPo5hyzWpB",good
,,,7/11/2022 14:44,KSP mengapresiasi tingginya animo publik terkait dengan pengaturan penyaluran BBM subsidi jenis pertalite dan solar menggunakan Aplikasi MyPertamina.  https://t.co/itV2eXUnQN,good
,,,7/11/2022 14:46,"Wah emang mantap banget sih ya gais, MyPertamina ini memberikan kemudahan loh buat masyarakat yaa  https://t.co/zKLNQPdQpr",good
,,,7/11/2022 14:47,"Wah emangg sih ya sekarang pertamina memberikan kemudahan banget loh buat masyarakat, nih gais sekarang beli BBM subsidi bisa tanpa HP dan tanpa MyPertamina loh  https://t.co/nH8ntvILql",good
,,,7/11/2022 14:49,"Wih mantap banget sih yaa, MyPertamina ini menjadi solusi terbaik ya subsidi BBM tepat sasaran gais  https://t.co/srGwc9Xmln",good
,,,7/11/2022 14:49,Di kota kalian udah pada nerapin pake MyPertamina?,neutral
,,,7/11/2022 14:55,"Sempat diprotes sopir angkutan kota (angkot), Pertamina gandeng Organda Jabar sosialisasikan beli BBM subsidi pakai aplikasi MyPertamina. #organdajabar  https://t.co/lr4GY4fVif",good
,,,7/11/2022 15:00,Ini lho guys aplikasi digital yg dipakai sebagai pendaftaran kendaraan ke laman MyPertamina  ini agar penyaluran BBM bersubsidi bisa lebih tepat sasaran  https://t.co/9LrvBokAEd  https://t.co/40eeJTQVKb,good
,,,7/11/2022 15:03,Upaya dalam menyiapkan platform digital MyPertamina ini dilakukan utk mencegah potensi terjadinya kasus penyalahgunaan BBM bersubsidi di lapangan  https://t.co/5nYUIwl1l4  https://t.co/JwdNxSkwlY,good
,,,7/11/2022 15:07,Penyaluran BBM Subsidi Disebut Harus Dibatasi demi Subsidi Tak Jebol: Penggunaan MyPertamina bisa efektif mengendalikan subsidi sekaligus meningkatkan kesadaran masyarakat mampu untuk membeli BBM nonsubsidi yang lebih ramah lingkungan.  https://t.co/oY5ZSu4zRq,good
,,,7/11/2022 15:10,Huahh bangga ga sih Pengamat Apresiasi Program MyPertamina Yang Berjalan Lancar. Keren sih ini.   https://t.co/2YsNoUISYC  https://t.co/j0bJOhroyP,good
,,,7/11/2022 15:14,PENTING !! WASPADA #scam #Phishing #MyPertamina   https://t.co/jr7wKMwMie,bad
,,,7/11/2022 15:41,@ppnjatimbalinus Ada 5 logo MyPertamina,neutral
,,,7/11/2022 16:04,@CindyBexter Ada yg mau nyoba event ini akibat apl MyPertamina,neutral
,,,7/11/2022 16:07,@bejo1408 @e100ss @pertamina Disebuah spbu daerah semut Saya : Mas systemnya mypertamina itu gmn sih? Petugas spbu : Gak tau mas Saya : LAH! 🤡🤡🤡,bad
,,,7/11/2022 16:37,"@sbyfess Bahas rusia-ukraina, yakjuz majuz, misteri hilangnya kain merah upin dan ipin, global warming, sawit murah minyak mahal, lombok mundak rego, app mypertamina, timnas u19 hak lolos semifinal, calo tiket wakehh",neutral
,,,7/11/2022 16:38,"Banyak Keluhan Beli Pertalite via MyPertamina, Bahlil: Kapan Negara Ini Maju?  https://t.co/2eRMuPgAeC",bad
,,,7/11/2022 16:40,@exelr0kmini Pake Wikipedia GUOBLOK?  MengGoogling artinya BEGO?  Pk SS mo jadiin kliping?  Bensin kadar oktan 88?  Premium ada stlh Pertalite &amp; Pertamax?  Beli MGCR hrs pk PeLi?  Beli BBM hrs pk MyPertamina? Kan jadinya DUNGU BEGO TOLOL kalian tuh!! 🤣🤣  https://t.co/3LHmS17JBf,bad
,,,7/11/2022 16:40,"Beli BBM Pakai MyPertamina, Menteri Bahlil: Kita Diolok-olok -  https://t.co/3HbrrLvcCK   #IDCORNER",bad
,,,7/11/2022 16:43,@OposisiCerdas Emang apa korelasi penggunaan Mypertamina dg Kemajuan negara?,neutral
,,,7/11/2022 16:51,"@nanacindyaa soalnya jual bensin ribet, harus pake mypertamina",bad
,,,7/11/2022 17:11,@democrazymedia Apakah dengan menggunakan aplikasi mypertamina penggunaan BBM tepat sasaran ????.....tolong dievaluasi pak menteri,bad
,,,7/11/2022 17:31,@b_airin Mungkin salah satu solusinya bsa d integrasikan dengan peduli lindungi ato myPertamina mak?,neutral
,,,7/11/2022 17:35,@realmadrid_58 @LosBlancos_Live LaLiga MyPertamina,neutral
,,,7/11/2022 19:37,@mas_taqien @AchsanulQosasi Lah kan kemaren tanggal 1 sampe sekarang lg uji coba begitu. Daftar di mypertamina biar subsidi lebih terarah. Rakyatnya malah koar² ngeluh duluan tanpa tau lengkapnya gimana. Emg literasi rakyat indo aja yg masih di bawah standar. Terlalu gampang menerima informasi yg salah.,good
,,,7/11/2022 21:05,"@adeprtma_ @gaplekemplu @SautSipelebegu lha makanya itu ada aplikasi mypertamina, jadi nanti  subsidi bbm itu gak salah sasara tapi aplikasinya masih jelek",bad
,,,7/11/2022 21:56,@ppnjatimbalinus Ada 5 Logo MyPertamina  #JENIUSJatimBaliNus  kuy @axyd22y  @Annajmussaaqib  @DwiAnyfa  @bukrene  @ariakinar,neutral
,,,7/11/2022 23:00,[HOAKS atau FAKTA]: Mobil terbakar di SPBU karena isi BBM pake aplikasi MyPertamina.   #merahputihcom #spbu #mypertamina #bbm #kebakaran    https://t.co/ZJgGw6vR8D,bad
,,,7/11/2022 23:39,KSP apresiasi tingginya minat masyarakat daftar myPertamina  https://t.co/OoWCJ70XoV,good
,,,7/11/2022 23:49,Bayar BBM Pakai Aplikasi Bisa Picu Ledakan di SPBU? Cek Faktanya...   https://t.co/FISo8XeMEl  #MyPertamina #BBM,bad
,,,7/13/2022 13:41,"Sampurasun Sobatnet Istimewa!  Seperti yang sudah kita tahu, bahwa dewasa ini beli BBM akan dilakukan melalui aplikasi MyPertamina. Artinya, konsumen akan menggunakan HP di area SPBU.",neutral
,,,7/13/2022 13:46,@Vendra_Deje Rusia sudah siap dengan segala skenario A to Z . . . Rusia ngamuk terbitlah mypertamina 🤭🤣🤣,neutral
,MyPertamina,MyPertaminaID,7/13/2022 13:58,"@Rizlsh Hai, Sobat Mas. Mohon maaf atas ketidaknyamanannya, saat ini aplikasi MyPertamina sedang terjadi kepadatan akses, sehingga tidak bisa akses aplikasi MyPertamina. Terima kasih tetap setia menggunakan aplikasi MyPertamina. -Ziad",neutral
,,,7/13/2022 14:07,"Wow guys, Tenang Beli Pertalite &amp; Solar Tak Perlu Pakai HP juga Tanpa Aplikasi MyPertamina, simak ya Caranya!   https://t.co/d7Rbv7B7o6  https://t.co/qgzcPqyzCa",good
,,,7/13/2022 14:09,"Tetap Tenang ya, ingin Beli Pertalite &amp; Solar Tak Perlu Pakai HP juga Tanpa Aplikasi MyPertamina, Ini Caranya ya guys!  https://t.co/Y7DlQsjJBx  https://t.co/EdflUJlTbT",neutral
,,,7/13/2022 14:12,"Mantap sih ini! Bakal Tenang saat ingin Beli Pertalite &amp; Solar Tak Perlu Pakai HP juga Tanpa Aplikasi MyPertamina, Ini Caranya, simak deh!  https://t.co/Y7DlQsjJBx  https://t.co/1iPj1QQ2wx",good
,,,7/13/2022 14:14,"@GojekOnTwitt @gojekindonesia Usul: gmn kl ramai2 menurunkan rate aplikasi GO-JEK (baik driver atau customer), seperti halnya yg terjadi pd aplikasi mypertamina",bad
